symbol,sector,market_cap,change
SKBBL,Microfinance,20102717330,-2.5
SANIMA,Commercial Banks,42590939776,-1.54
SAEF,Mutual Fund,1673100000,-1.38
SGI,Non Life Insurance,5940000000,-1.41
SLCF,Mutual Fund,1126800000,0.11
SLI,Life Insurance,10560000000,-0.58
SHPC,Hydro Power,12789499140,0.0
SJCL,Hydro Power,11990250000,-0.82
SAPDBL,Development Banks,3020305370,0.95
SDBD87,Corporate Debenture,0,-1.96
SADBL,Development Banks,10898624676,-1.63
SICL,Non Life Insurance,30598317600,0.23
SHINE,Development Banks,14821556064,-2.73
SSHL,Hydro Power,4635896000,0.0
SHIVM,Manufacturing And Processing,67012000000,0.2
SBPP,Manufacturing And Processing,0,0.2
SIFC,Finance,4237042124,-1.43
SRS,Manufacturing And Processing,1029544620,-1.43
SFFIL,Finance,2022371190,-1.43
SBL,Commercial Banks,54856991136,-2.69
SEF,Mutual Fund,1551000000,-2.82
SEOS,Mutual Fund,1085000000,-2.82
SIL,Non Life Insurance,10024000000,-2.4
SIGS2,Mutual Fund,1309200000,-1.71
SINDU,Development Banks,2040289326,-2.92
SHEL,Hydro Power,5628900000,-0.97
SHL,Hotels,17719451721,-1.73
SPARS,Microfinance,1088922852,-1.73
SCB,Commercial Banks,46110028104,-1.61
SMFDB,Microfinance,5901818000,-2.47
SRBL,Commercial Banks,29344789120,-2.36
SBCF,Mutual Fund,1083750000,-1.03
SFMF,Mutual Fund,978680000,-0.52
SMB,Microfinance,1583868000,-3.73
SLICL,Life Insurance,18231966018,-1.39
SLBS,Microfinance,5098771908,-1.39
SWBBL,Microfinance,13914908000,-1.82
SMFBS,Microfinance,2357703392,-3.2
SDESI,Microfinance,2208000000,-3.2
SLBBL,Microfinance,5777959784,-2.27
SYFL,Finance,687893050,-2.27
SPDL,Hydro Power,3376322950,2.4
TRH,Hotels,6942886720,-1.87
TPC,Hydro Power,1796000000,5.4
TMDBL,Development Banks,3786172156,5.4
UNL,Manufacturing And Processing,17562352500,-0.13
UNHPL,Hydro Power,2362500000,-1.25
ULI,Life Insurance,13910500000,-1.82
UFL,Finance,4402730781,-1.82
UMRH,Hydro Power,2280600000,3.04
UIC,Non Life Insurance,6765292800,-1.79
UMHL,Hydro Power,4347000000,1.61
UPCL,Hydro Power,7582263500,1.12
USLB,Microfinance,3547530643,-0.64
UPPER,Hydro Power,69152700000,-0.31
VLBS,Microfinance,4230360340,-4.55
WOMI,Microfinance,7953822797,-4.55
YHL,Hotels,0,-4.55
