Approx Date,Approx Closing Price,
3/9/2000,344,
3/9/2000,342,
3/9/2000,341,
3/12/2000,350,
3/12/2000,349,
3/14/2000,369,
3/14/2000,367,
3/14/2000,365,
3/14/2000,364,
3/14/2000,362,
3/14/2000,360,
3/16/2000,359,
3/16/2000,357,
3/16/2000,355,
3/16/2000,354,
3/17/2000,352,
3/18/2000,351,
3/22/2000,349,
3/24/2000,352,
3/24/2000,350,
3/25/2000,361,
3/25/2000,359,
3/25/2000,358,
3/25/2000,356,
3/25/2000,354,
3/25/2000,346,
3/27/2000,348,
3/30/2000,354,
3/30/2000,353,
3/30/2000,351,
3/30/2000,350,
4/2/2000,360,
4/3/2000,364,
4/3/2000,362,
4/3/2000,361,
4/4/2000,359,
4/4/2000,357,
4/4/2000,355,
4/4/2000,354,
4/4/2000,352,
4/5/2000,350,
4/5/2000,349,
4/6/2000,347,
4/10/2000,347,
4/14/2000,345,
4/19/2000,344,
4/24/2000,343,
4/28/2000,342,
5/2/2000,340,
5/8/2000,339,
5/12/2000,340,
5/16/2000,338,
5/21/2000,338,
5/25/2000,349,
5/25/2000,348,
5/25/2000,346,
5/25/2000,344,
5/25/2000,343,
5/25/2000,341,
5/25/2000,339,
5/25/2000,338,
5/28/2000,373,
5/28/2000,371,
5/28/2000,369,
5/28/2000,368,
5/28/2000,366,
5/28/2000,364,
5/28/2000,363,
5/28/2000,361,
5/28/2000,359,
5/28/2000,358,
5/28/2000,356,
5/28/2000,354,
5/30/2000,349,
5/30/2000,348,
5/30/2000,346,
5/30/2000,344,
5/30/2000,339,
6/1/2000,343,
6/1/2000,341,
6/5/2000,349,
6/5/2000,348,
6/5/2000,346,
6/5/2000,344,
6/7/2000,352,
6/7/2000,351,
6/10/2000,355,
6/10/2000,354,
6/11/2000,359,
6/11/2000,357,
6/12/2000,360,
6/16/2000,356,
6/22/2000,355,
6/26/2000,354,
6/27/2000,356,
7/2/2000,355,
7/4/2000,345,
7/4/2000,344,
7/4/2000,342,
7/4/2000,340,
7/4/2000,339,
7/4/2000,337,
7/4/2000,335,
7/4/2000,333,
7/4/2000,332,
7/4/2000,330,
7/4/2000,328,
7/4/2000,327,
7/4/2000,325,
7/5/2000,354,
7/5/2000,351,
7/5/2000,350,
7/5/2000,348,
7/5/2000,346,
7/6/2000,356,
7/9/2000,357,
7/10/2000,359,
7/14/2000,365,
7/14/2000,364,
7/14/2000,362,
7/17/2000,379,
7/17/2000,377,
7/17/2000,375,
7/17/2000,374,
7/17/2000,372,
7/17/2000,370,
7/17/2000,369,
7/17/2000,367,
7/20/2000,392,
7/20/2000,390,
7/20/2000,389,
7/20/2000,387,
7/20/2000,385,
7/22/2000,409,
7/22/2000,407,
7/22/2000,405,
7/22/2000,404,
7/22/2000,402,
7/22/2000,400,
7/22/2000,399,
7/22/2000,397,
7/25/2000,421,
7/25/2000,420,
7/25/2000,418,
7/25/2000,416,
7/25/2000,415,
7/25/2000,413,
7/27/2000,425,
7/29/2000,423,
8/2/2000,420,
8/2/2000,419,
8/2/2000,417,
8/4/2000,413,
8/4/2000,411,
8/4/2000,410,
8/4/2000,408,
8/8/2000,405,
8/8/2000,403,
8/8/2000,401,
8/10/2000,411,
8/10/2000,410,
8/10/2000,408,
8/10/2000,406,
8/10/2000,400,
8/10/2000,398,
8/10/2000,396,
8/10/2000,395,
8/12/2000,420,
8/12/2000,418,
8/12/2000,416,
8/12/2000,415,
8/15/2000,421,
8/18/2000,420,
8/18/2000,418,
8/22/2000,422,
8/26/2000,422,
8/28/2000,425,
8/28/2000,423,
8/31/2000,428,
8/31/2000,427,
9/3/2000,430,
9/3/2000,429,
9/5/2000,444,
9/5/2000,442,
9/5/2000,441,
9/5/2000,439,
9/5/2000,437,
9/5/2000,435,
9/5/2000,434,
9/5/2000,433,
9/8/2000,456,
9/8/2000,455,
9/8/2000,453,
9/8/2000,451,
9/8/2000,450,
9/10/2000,472,
9/10/2000,471,
9/10/2000,469,
9/10/2000,467,
9/10/2000,466,
9/10/2000,464,
9/10/2000,462,
9/10/2000,461,
9/13/2000,480,
9/14/2000,478,
9/14/2000,476,
9/14/2000,474,
9/16/2000,472,
9/16/2000,471,
9/18/2000,470,
9/21/2000,473,
9/21/2000,471,
9/24/2000,486,
9/24/2000,485,
9/24/2000,483,
9/24/2000,481,
9/24/2000,480,
9/24/2000,478,
9/24/2000,476,
9/24/2000,475,
9/26/2000,496,
9/26/2000,494,
9/26/2000,492,
9/26/2000,491,
9/29/2000,506,
9/29/2000,504,
9/29/2000,502,
9/29/2000,501,
9/29/2000,499,
9/29/2000,498,
10/2/2000,515,
10/2/2000,513,
10/2/2000,512,
10/2/2000,510,
10/2/2000,508,
10/4/2000,521,
10/4/2000,519,
10/4/2000,518,
10/7/2000,541,
10/7/2000,539,
10/7/2000,537,
10/7/2000,536,
10/7/2000,534,
10/7/2000,532,
10/7/2000,531,
10/7/2000,529,
10/7/2000,527,
10/7/2000,526,
10/7/2000,525,
10/10/2000,544,
10/10/2000,543,
10/14/2000,546,
10/15/2000,544,
10/15/2000,543,
10/17/2000,537,
10/17/2000,536,
10/18/2000,534,
10/18/2000,532,
10/18/2000,531,
10/18/2000,529,
10/18/2000,527,
10/18/2000,526,
10/18/2000,524,
10/18/2000,522,
10/18/2000,521,
10/18/2000,519,
10/18/2000,517,
10/18/2000,516,
10/18/2000,514,
10/18/2000,512,
10/18/2000,511,
10/18/2000,509,
10/18/2000,507,
10/19/2000,505,
10/19/2000,504,
10/20/2000,502,
10/20/2000,500,
10/20/2000,498,
10/20/2000,497,
10/20/2000,495,
10/20/2000,493,
10/20/2000,492,
10/20/2000,490,
10/23/2000,507,
10/25/2000,508,
10/26/2000,506,
10/26/2000,504,
10/26/2000,503,
10/28/2000,501,
10/28/2000,499,
10/28/2000,497,
11/2/2000,495,
11/2/2000,492,
11/3/2000,491,
11/5/2000,488,
11/5/2000,485,
11/6/2000,486,
11/12/2000,488,
11/15/2000,490,
11/18/2000,495,
11/18/2000,493,
11/18/2000,492,
11/21/2000,490,
11/21/2000,489,
11/24/2000,486,
11/25/2000,487,
11/29/2000,486,
11/29/2000,485,
11/29/2000,483,
11/29/2000,482,
12/2/2000,480,
12/2/2000,478,
12/2/2000,476,
12/2/2000,475,
12/2/2000,473,
12/4/2000,470,
12/4/2000,468,
